Brand,Product Name,Category,Ingredient Details,Ingredient Types,Is Harmful?,Reason for Harmful,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternative,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacturing,Expiration Detail
Ghirardelli,Sea Salt Caramel Chocolate Squares,Chocolate,"Chocolate, Sugar, Cocoa Butter, Sea Salt, Caramel","Chocolate, Sugar, Fat, Salt",No,High Sodium,1Not Applicable2 squares,Yes,Yes,Yes,"Low sugar, high fat",Dark Chocolate 70% Cocoa,Lower sugar,Yes,0,5,USA,12 months
See's Candies,Lollipops,Candy,"Sugar, Corn Syrup, Flavor",Sugar,No,,1 lollipop,Yes,Yes,Yes,High sugar,Fruit Lollipop,Lower sugar,Yes,0,3,USA,6 months
Russell Stover,SugarNot ApplicableFree Chocolate Covered Almonds,Chocolate,"Sugar Alcohol, Almonds, Cocoa Butter, Nonfat Milk, Soy Lecithin, Natural Flavor","Sugar Alcohol, Nuts, Dairy, Fat, Emulsifier, Flavoring",No,"Nut Allergy, May cause digestive issues",1Not Applicable2 pieces,Yes,Yes,Yes,"Low sugar, high fat",Dark Chocolate 70% Cocoa,Lower sugar,Yes,0,7,USA,6 months
Ben & Jerry's,Cherry Garcia,Ice Cream,"Milk, Cream, Sugar, Cherries, Chocolate, Cocoa, Corn Syrup","Dairy, Sugar, Chocolate, Fat, Fruit",No,Dairy Allergy,1 scoop,Yes,Yes,Yes,"High sugar, high fat",Sorbet,"Low sugar, no dairy",Yes,0,9,USA,3 months
HaagenNot ApplicableDazs,Macadamia Nut Brittle,Ice Cream,"Cream, Skim Milk, Sugar, Macadamia Nuts, Brittle (Sugar, Almonds, Pecans, Walnuts)","Dairy, Sugar, Fat, Nuts",No,Nut Allergy,1 scoop,Yes,Yes,Yes,"High sugar, high fat",Sorbet,"Low sugar, no dairy",Yes,0,9,USA,3 months
Breyers,Cookies and Cream,Ice Cream,"Milk, Cream, Sugar, Chocolate, Cocoa, Cookies (Enriched Flour, Sugar, Vegetable Oil, Cocoa, Corn Syrup, Salt), Corn Syrup","Dairy, Sugar, Chocolate, Fat, Flour",No,"Dairy Allergy, Gluten Intolerance",1 scoop,Yes,Yes,Yes,"High sugar, high fat",Fruit Sorbet,"Low sugar, no dairy",Yes,0,13,USA,3 months
Dreyer's,Strawberry Cheesecake,Ice Cream,"Milk, Cream, Sugar, Strawberry Puree, Cheesecake (Cream Cheese, Sugar, Eggs, Flour, Cornstarch, Vanilla), Corn Syrup","Dairy, Sugar, Fat, Eggs, Flour",No,"Egg Allergy, Dairy Allergy",1 scoop,Yes,Yes,Yes,"High sugar, high fat",Fruit Sorbet,"Low sugar, no dairy",Yes,0,14,USA,3 months
Edy's,Grand Ice Cream,Ice Cream,"Milk, Cream, Sugar, Chocolate, Cocoa, Corn Syrup, Eggs","Dairy, Sugar, Chocolate, Fat, Eggs",No,"Egg Allergy, Dairy Allergy",1 scoop,Yes,Yes,Yes,"High sugar, high fat",Fruit Sorbet,"Low sugar, no dairy",Yes,0,8,USA,3 months
Magnum,Double Caramel,Ice Cream,"Milk, Cream, Sugar, Cocoa Butter, Cocoa Mass, Vegetable Fat, Skim Milk Powder, Emulsifiers, Flavourings, Caramel, Chocolate Coating","Dairy, Sugar, Chocolate, Fat, Emulsifier, Flavoring",No,Dairy Allergy,1 bar,Yes,Yes,Yes,"High sugar, high fat",Fruit Ice Pop,"Low sugar, no dairy",Yes,0,14,Netherlands,3 months
Cornetto,Chocolate,Ice Cream,"Milk Solids, Sugar, Vegetable Fat, Skimmed Milk Powder, Emulsifiers, Stabilisers, Flavourings, Cone (Wheat Flour, Sugar, Vegetable Oil, Yeast, Salt, Emulsifiers)","Dairy, Sugar, Fat, Flour, Emulsifier, Flavoring",No,"Dairy Allergy, Gluten Intolerance",1 cone,Yes,Yes,Yes,"High sugar, high fat",FruitNot Applicablebased Ice Cream,"Lower sugar, higher fiber",Yes,0,12,India,3 months
Klondike,Krunch Bar,Ice Cream,"Milk, Cream, Sugar, Corn Syrup, Chocolate, Cocoa, Peanuts, Caramel","Dairy, Sugar, Chocolate, Fat, Nuts",No,Nut Allergy,1 bar,Yes,Yes,Yes,"High sugar, high fat",Fruit Ice Pop,"Low sugar, no dairy",Yes,0,9,USA,3 months
Popsicle,Fruit Punch,Ice Pop,"Sugar, Corn Syrup, Water, Fruit Juice Concentrate (Apple, Orange, Grape), Citric Acid, Ascorbic Acid, Natural and Artificial Flavors","Sugar, Fruit",No,Not Applicable,1 pop,Yes,Yes,Yes,High sugar,Water,No sugar,Yes,0,9,USA,3 months
Fudgsicle,Chocolate,Ice Pop,"Sugar, Corn Syrup, Water, Cocoa, Chocolate","Sugar, Chocolate",No,Not Applicable,1 pop,Yes,Yes,Yes,"High sugar, moderate fat",Fruit Ice Pop,"Low sugar, no dairy",Yes,0,5,USA,3 months
Halo Top,Chocolate,Ice Cream,"Skim Milk, Erythritol, Monk Fruit Extract, Cocoa, Chicory Root Fiber, Egg Yolks, Cocoa Butter, Natural Flavor","Dairy, Sugar Substitute, Chocolate, Fat, Eggs",No,"Egg Allergy, Dairy Allergy",1/2 cup,Yes,Yes,Yes,"Low sugar, low fat",Frozen Yogurt,"Lower sugar, lower fat",Yes,0,10,USA,3 months
Hershey's,Milk Chocolate Bar,Chocolate,"Sugar, Cocoa Butter, Chocolate Liquor, Milk Solids, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,7,USA,12 months
KitKat,KitKat Miniatures,Chocolate,"Sugar, Cocoa Butter, Chocolate Liquor, Skim Milk Powder, Lactose, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate KitKat,Lower sugar content,Yes,1,8,UK,12 months
M&M's,Peanut Butter M&Ms,Candy,"Sugar, Peanuts, Corn Syrup, Yes Hydrogenated Vegetable Oil, Cocoa Butter, Dextrose, Lactose, Salt, Less than 2% of: Dextrin, Artificial Color (includes Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5 Lake, Yellow 6 Lake), Artificial Flavor, BHT (to maintain freshness)","Sweeteners, Nuts, Fats, Dairy",Yes,"High Sugar Content, Trans Fats",1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories, Trans Fat",Dark Chocolate M&Ms,Lower sugar content,Yes,2,16,USA,12 months
Snickers,Snickers Bar,Candy Bar,"Peanuts, Sugar, Glucose Syrup, Skim Milk Powder, Cocoa Butter, Palm Oil, Lactose, Salt, Less than 1% of: Cocoa Mass, Whey Powder, Soy Lecithin, Peanuts, Palm Oil, Artificial Flavor","Nuts, Sweeteners, Dairy, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Trail Mix,"Contains nuts, dried fruit",Yes,1,16,USA,12 months
Twix,Twix Chocolate Bar,Candy Bar,"Sugar, Wheat Flour, Palm Oil, Skim Milk Powder, Cocoa Butter, Glucose Syrup, Whey Powder, Cocoa Mass, Lactose, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavor","Sweeteners, Grains, Dairy, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,16,USA,12 months
Amul Dark Chocolate,,Amul,Chocolate,"Cocoa solids, sugar, cocoa butter, emulsifiers (322, 476), artificial flavouring substances (cocoa, vanilla)",Yes,Sugar and emulsifiers may have potential health concerns in excessive consumption.,Moderate consumption recommended,"Yes, in moderation",Yes,"Yes, in moderation","High in antioxidants, moderate in calories and fat","Dark chocolate with higher cocoa content, unsweetened cocoa powder",Options with less sugar and added ingredients,Yes,"2 (Sugar, Emulsifiers)",6,India,12 months 
Cadbury ,,Chocolate,"Sugar, Milk Solids (23%*), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, Artificial (Vanilla))",Natural and Processed,Yes,High sugar content can lead to health issues; some emulsifiers and artificial flavors may cause sensitivity,20Not Applicable30g,Moderate,Yes,Moderate,Good source of energy but high in sugar content,LowNot Applicablesugar milk chocolate,Contains reduced sugar and no artificial additives,Yes,3,6,"India,UK,US,etc",6 to 12 months
Cadbury,,Chocolate,"Sugar, Cocoa Solids, Cocoa Butter, Raisins (8%), Apricot Kernels (4%), Cashew Nut (4%), Milk Solids, Emulsifier (E442, E476), Natural Flavoring Substance, NatureNot ApplicableIdentical Flavoring Substances",Natural and Processed,Yes,High sugar content and emulsifiers may cause health concerns when overconsumed,20Not Applicable30g,Moderate,Yes,Moderate,"High in antioxidants from cocoa, with added nutrients from nuts and raisins",Dark chocolate with reduced sugar,Healthy Protein Bars,Yes,2,9,"India,UK,US,etc",9 to 12 months
Haldiram Motichoor Ladoo,,Desserts,"Sugar (37%), Chickpea Flour (20%), Pure Ghee (Clarified Butter), Green Cardamom, Saffron, Permitted Food Color (FD&C Yellow 5, 6, 6)","Sweetener,Pulse Flour,Dairy,Spices,Food Additive(Colorant)",Yes,Yes(Food Additive(Colorant) &Excessive consumption may cause sensitivities),Moderate,Yes,Yes,Yes,High in calories and sugar,LowNot Applicablesugar sweets like moongNot Applicabledaal  ladoos,moongNot Applicabledaal  ladoos have lower sugar content and more fiber,Yes,1,6,India,5Not Applicable10 Days
Britannia Choco Chill Slice Cake,,Cake,"Sugar, Refined Wheat Flour, Edible Hydrogenated Vegetable Oil & Palm Olein Oil, Humectants (422 & 420), Milk Solids, Cocoa Solids (2%), Emulsifier (476), Invert Syrup, Raising Agents (500(ii), 341(iii) & 450(i)), Iodized Salt, Soy Protein Isolate, Preservatives (202 & 282), Stabilizer (415), Acidity Regulator (330)",,Yes,"Contains hydrogenated oils, preservatives, and emulsifiers that may contribute to health concerns when consumed excessively",Moderate,Yes,Yes,Yes,"High in sugar, fats, and preservatives",Whole grain or homemade cake alternatives,Homemade cakes with whole wheat flour and natural sweeteners,Yes,3,15,India,6 months
Unibic Cake Not Applicable Royal Vanilla,,Cake,"Egg, Sugar, Edible Vegetable Oil (Palm), Refined Wheat Flour (Maida), Vanilla Concentrate (6%) [Sugar, Refined Wheat Flour (Maida), Edible Vegetable Oil, Thickeners (INS 1414, INS 1442), Humectant (INS 420), Raising Agents (INS 500, INS 341), Leavening Agent (INS 500 ii), Emulsifier, Stabilizers (INS 471, INS 477, INS 415, INS 466), Acidity Regulator (INS 330), Iodized Salt, Preservatives (INS 282, INS 202), Food Colour (INS 150c)], Humectant (INS 420 i), Glycerine (INS 422), Milk Solids, Cake Gel [Water, Emulsifiers (INS 471, INS 477, INS 470), Humectants (INS 1520, INS 422)], Leavening Agent (INS 500 ii), Baking Powder, Natural, Nature Identical and Artificial Flavouring Substances (Vanilla, Cardamom), Preservatives (INS 202, INS 200).",,Yes,"Contains  Artificial Additives, and Palm Oil",Limited Use,Yes,Yes,Limited Use,"High calorie, low nutrients",Homemade Vanilla Cake,"Replace artificial preservatives and additives with natural flavorings and stabilizers, use whole wheat flour instead of Maida for better nutrition",Yes,7,20+,India,6 months
Gits Open & Eat Gulab Jamun Tin,,Sweets/Desserts,"Sugar, Milk Solids (27%), Water, Palmolein Oil, Wheat Flour (Maida), Corn Flour, Sodium Bicarbonate (INS 500(ii)), Green Cardamom, Mace, Nutmeg","Natural, Processed",Yes,Palmolein Oil: Potential for cardiovascular issues with excessive consumption; Sodium Bicarbonate: May cause digestive discomfort when overconsumed.,Moderate,Yes,Yes,Yes,High sugar content may lead to weight gain; provides some energy and protein from milk solids but low in fiber and nutrients.,Homemade Gulab Jamun using healthy oils,"Made with whole wheat flour and less sugar, avoiding preservatives.",Yes,2,9,India,5 Days
Ferrero Rocher,,Chocolates,"Milk chocolate (30%) (sugar, cocoa butter, cocoa mass, skimmed milk powder, anhydrous milkfat, emulsifier: lecithin Not Applicable INS 322, nature identical flavouring substance Not Applicable vanillin), hazelnuts (28.5%), sugar, palm oil, refined wheat flour (maida), whey powder, low fat cocoa powder, emulsifier (lecithin Not Applicable INS 322), raising agent (INS 500(ii)), edible common salt, nature identical flavouring substance – vanillin","Natural, Processed, Synthetic",Yes,Palm oil: associated with potential cardiovascular risks; Raising agent (INS 500(ii)): digestive discomfort in excess; Vanillin: synthetic flavor with no nutritional benefits.,1 unit per day,Yes,Yes,Yes,High in sugar and fats; provides energy but lacks essential nutrients; may contribute to weight gain and other health concerns,Dark chocolate with natural ingredients,"Made with unrefined sugar, natural cocoa butter, and organic hazelnuts.",Yes,3,16,Italy,6 months
Nestlé Kit Kat,,Chocolates,"Sugar, Milk solids (15.6%), Fractionated vegetable fat, Hydrogenated vegetable fats, Refined Wheat flour (Maida), Cocoa solids (4.4%), Emulsifier (Soya lecithin), Yeast, Raising agent (500(ii)), Iodised salt, Artificial (Vanilla) flavouring substance, Flour treatment agent (516), NatureNot ApplicableIdentical flavouring substance","Natural, Processed, Synthetic",Yes,Hydrogenated vegetable fats: linked to trans fats and heart health issues; Raising agent (500(ii)): digestive discomfort in excess; Artificial and natureNot Applicableidentical flavors: lack nutritional value and may cause allergies.,1 unit per day,Yes,Yes,Yes,"High in sugar and unhealthy fats; provides quick energy but lacks essential nutrients, contributing to potential health risks when overconsumed.",Dark chocolate with wholeNot Applicablegrain wafers,"Made with natural cocoa solids, wholeNot Applicablegrain flour, and organic sweeteners.",Yes,4,12,India,6 to 12 months
Hershey's,Milk Chocolate Bar,Chocolate,"Sugar, Cocoa Butter, Chocolate, Skim Milk, Lactose, Soy Lecithin, PGPR","Sugar, Dairy, Vegetable Oil, Emulsifier",Yes,High sugar content,1 bar per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Dark Chocolate,"70% or higher cocoa content, lower sugar",Yes,1,8,USA,1 year from production
Oreo,Original Sandwich Cookies,Cookies,"Unbleached Enriched Flour, Sugar, Vegetable Oil, Cocoa, High Fructose Corn Syrup, Dextrose","Grains, Sugar, Vegetable Oil, Cocoa",Yes,"High sugar content, artificial flavors",2 cookies per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Whole Wheat Cookies,"Made with whole wheat flour, less sugar",Yes,1,9,USA,6 months from production
M&M's,Milk Chocolate Candies,Candy,"Sugar, Chocolate, Skim Milk, Cocoa Butter, Lactose, Soy Lecithin, PGPR","Sugar, Dairy, Vegetable Oil, Emulsifier",Yes,High sugar content,1 serving (1.69 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Dark Chocolate Almonds,Roasted almonds coated in dark chocolate,Yes,1,8,USA,1 year from production
Snickers,Chocolate Bar,Candy Bar,"Peanuts, Sugar, Corn Syrup, Skim Milk, Chocolate, Palm Oil, Lactose","Nuts, Sugar, Dairy, Vegetable Oil",Yes,"High sugar content, potential for nut allergies",1 bar per day,No,Yes (in moderation),No,"High in sugar, fat, calories, and protein",Trail Mix,"Mix of nuts, seeds, and dried fruit",Yes,2,9,USA,1 year from production
Kit Kat,Wafer Bar,Candy Bar,"Sugar, Wheat Flour, Vegetable Oil, Cocoa, Skim Milk, Lactose","Grains, Sugar, Dairy, Vegetable Oil, Cocoa",Yes,High sugar content,1 bar per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Granola Bars,"Whole grain, high fiber, lower sugar",Yes,1,8,USA,1 year from production
Twix,Chocolate Bar,Candy Bar,"Sugar, Wheat Flour, Vegetable Oil, Cocoa, Skim Milk, Lactose","Grains, Sugar, Dairy, Vegetable Oil, Cocoa",Yes,High sugar content,1 bar per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Fruit and Nut Bars,"Dried fruit, nuts, and seeds",Yes,1,8,USA,1 year from production
Reese's Peanut Butter Cups,Candy,Candy,"Sugar, Peanuts, Chocolate, Palm Oil, Skim Milk, Lactose","Nuts, Sugar, Dairy, Vegetable Oil",Yes,"High sugar content, potential for nut allergies",1 cup per day,No,Yes (in moderation),No,"High in sugar, fat, calories, and protein",Apple Slices with Peanut Butter,Sliced apples with natural peanut butter,Yes,2,8,USA,1 year from production
Skittles,Candy,Candy,"Sugar, Corn Syrup, Citric Acid, Maltodextrin, Artificial Flavors, Artificial Colors","Sugar, Corn Syrup, Artificial Flavors, Artificial Colors",Yes,"High sugar content, artificial colors and flavors",1 serving (2.17 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Fruit Snacks,"Made with real fruit juice, no artificial flavors",Yes,3,8,USA,1 year from production
M&M's Peanut,Candy,Candy,"Sugar, Peanuts, Chocolate, Skim Milk, Cocoa Butter, Lactose, Soy Lecithin, PGPR","Nuts, Sugar, Dairy, Vegetable Oil, Emulsifier",Yes,"High sugar content, potential for nut allergies",1 serving (1.69 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, calories, and protein",Dark Chocolate Almonds,Roasted almonds coated in dark chocolate,Yes,2,9,USA,1 year from production
Snickers Almond,Candy Bar,Candy Bar,"Peanuts, Sugar, Corn Syrup, Skim Milk, Chocolate, Palm Oil, Lactose, Almonds","Nuts, Sugar, Dairy, Vegetable Oil",Yes,"High sugar content, potential for nut allergies",1 bar per day,No,Yes (in moderation),No,"High in sugar, fat, calories, and protein",Trail Mix,"Mix of nuts, seeds, and dried fruit",Yes,2,10,USA,1 year from production
Kit Kat Minis,Wafer Bar,Candy Bar,"Sugar, Wheat Flour, Vegetable Oil, Cocoa, Skim Milk, Lactose","Grains, Sugar, Dairy, Vegetable Oil, Cocoa",Yes,High sugar content,1 serving (1.5 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Granola Bars,"Whole grain, high fiber, lower sugar",Yes,1,8,USA,1 year from production
Twix Peanut Butter,Chocolate Bar,Candy Bar,"Sugar, Wheat Flour, Vegetable Oil, Cocoa, Skim Milk, Lactose, Peanuts","Grains, Sugar, Dairy, Vegetable Oil, Cocoa, Nuts",Yes,"High sugar content, potential for nut allergies",1 bar per day,No,Yes (in moderation),No,"High in sugar, fat, calories, and protein",Fruit and Nut Bars,"Dried fruit, nuts, and seeds",Yes,2,9,USA,1 year from production
Reese's Pieces,Candy,Candy,"Sugar, Peanuts, Chocolate, Palm Oil, Skim Milk, Lactose","Nuts, Sugar, Dairy, Vegetable Oil",Yes,"High sugar content, potential for nut allergies",1 serving (2.83 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, calories, and protein",Sunflower Seeds,Roasted and salted sunflower seeds,Yes,2,8,USA,1 year from production
M&M's Crispy,Candy,Candy,"Sugar, Rice Crisps, Chocolate, Skim Milk, Cocoa Butter, Lactose, Soy Lecithin, PGPR","Grains, Sugar, Dairy, Vegetable Oil, Emulsifier",Yes,High sugar content,1 serving (1.69 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Popcorn,AirNot Applicablepopped popcorn with a sprinkle of salt,Yes,1,9,USA,1 year from production
Snickers Ice Cream,Ice Cream,Ice Cream,"Sugar, Corn Syrup, Skim Milk, Chocolate, Palm Oil, Lactose, Peanuts, Egg Yolks","Nuts, Sugar, Dairy, Vegetable Oil, Eggs",Yes,"High sugar content, potential for nut allergies",1 serving (4 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, calories, and protein",Frozen Yogurt,LowNot Applicablefat frozen yogurt with fruit,Yes,2,10,USA,3 months from production
Kit Kat Ice Cream,Ice Cream,Ice Cream,"Sugar, Wheat Flour, Vegetable Oil, Cocoa, Skim Milk, Lactose","Grains, Sugar, Dairy, Vegetable Oil, Cocoa",Yes,High sugar content,1 serving (4 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Fruit Sorbet,Frozen dessert made with fruit and water,Yes,1,8,USA,3 months from production
Twix Ice Cream,Ice Cream,Ice Cream,"Sugar, Wheat Flour, Vegetable Oil, Cocoa, Skim Milk, Lactose","Grains, Sugar, Dairy, Vegetable Oil, Cocoa",Yes,High sugar content,1 serving (4 oz) per day,No,Yes (in moderation),No,"High in sugar, fat, and calories",Frozen Yogurt,LowNot Applicablefat frozen yogurt with fruit,Yes,1,8,USA,3 months from production
Cadbury,Dairy Milk Fruit & Nut,Chocolate Bar,"Milk, Sugar, Cocoa Butter, Cocoa Mass, Skim Milk Powder, Lactose, Raisins, Almonds, Emulsifier (Soy Lecithin), Flavouring","Dairy, Nuts, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate with Nuts,"Contains higher cocoa content, less sugar",Yes,1,9,UK,12 months
Cadbury,Dairy Milk Caramel,Chocolate Bar,"Milk, Sugar, Cocoa Butter, Cocoa Mass, Skim Milk Powder, Lactose, Glucose Syrup, Emulsifier (Soy Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,9,UK,12 months
Cadbury,Dairy Milk Oreo,Chocolate Bar,"Milk, Sugar, Cocoa Butter, Cocoa Mass, Skim Milk Powder, Lactose, Emulsifier (Soy Lecithin), Flavouring, Oreo Cookies (Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Palm 1 Oil, Cocoa (Processed with Alkali), High Fructose Corn Syrup, 2 Dextrose, Contains 2% or Less of: Soy Lecithin, Salt, Baking Soda, Vanillin, Artificial Flavor)","Dairy, Grains, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,19,UK,12 months
Cadbury,Dairy Milk,Chocolate Bar,"Milk, Sugar, Cocoa Butter, Cocoa Mass, Skim Milk Powder, Lactose, Emulsifier (Soy Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Cadbury,Creme Egg,Candy,"Sugar, Glucose Syrup, Skimmed Milk Powder, Cocoa Butter, Cocoa Mass, Vegetable Fat (Palm), Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,9,UK,12 months
Cadbury,Roses,Assorted Chocolates,"Sugar, Cocoa Butter, Cocoa Mass, Skimmed Milk Powder, Glucose Syrup, Vegetable Fat (Palm), Emulsifier (Soya Lecithin), Flavouring, Almonds, Hazelnuts, Milk Chocolate, Dark Chocolate, White Chocolate","Dairy, Nuts, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,16,UK,12 months
Cadbury,Twirl,Chocolate Bar,"Sugar, Wheat Flour, Palm Oil, Skim Milk Powder, Cocoa Butter, Glucose Syrup, Whey Powder, Cocoa Mass, Lactose, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavor","Sweeteners, Grains, Dairy, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,16,UK,12 months
Cadbury,Flake,Chocolate Bar,"Sugar, Cocoa Butter, Skimmed Milk Powder, Cocoa Mass, Lactose, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Cadbury,Crunchie,Chocolate Bar,"Sugar, Skimmed Milk Powder, Wheat Flour, Cocoa Butter, Palm Oil, Lactose, Cocoa Mass, Salt, Barley Malt Extract, Emulsifier (Soya Lecithin), Flavouring","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,13,UK,12 months
Cadbury,Dairy Milk Silk,Chocolate Bar,"Milk, Sugar, Cocoa Butter, Cocoa Mass, Vegetable Fats (Palm, Shea), Emulsifiers (E442, E476), Flavourings.","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Cadbury,Perk,Chocolate Bar,"Sugar, Wheat Flour, Palm Oil, Skimmed Milk Powder, Cocoa Butter, Cocoa Mass, Lactose, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavour","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,14,UK,12 months
Cadbury,Picnic,Chocolate Bar,"Sugar, Skimmed Milk Powder, Cocoa Butter, Cocoa Mass, Lactose, Peanuts, Emulsifier (Soya Lecithin), Flavouring","Dairy, Nuts, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate with Nuts,"Contains higher cocoa content, less sugar",Yes,1,9,UK,12 months
Cadbury,Wispa,Chocolate Bar,"Sugar, Cocoa Butter, Skimmed Milk Powder, Cocoa Mass, Lactose, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Cadbury,Boost,Chocolate Bar,"Sugar, Skimmed Milk Powder, Cocoa Butter, Cocoa Mass, Lactose, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Cadbury,Time Out,Chocolate Bar,"Sugar, Wheat Flour, Palm Oil, Skimmed Milk Powder, Cocoa Butter, Glucose Syrup, Whey Powder, Cocoa Mass, Lactose, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavour","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,15,UK,12 months
Cadbury,Curly Wurly,Candy,"Sugar, Glucose Syrup, Skimmed Milk Powder, Cocoa Butter, Cocoa Mass, Vegetable Fat (Palm), Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,9,UK,12 months
